External ID,Number,Amount,Date,Journal,Partner,Reference,Journal Items/Account/Name,Journal Items/Label,Journal Items/Credit,Journal Items/Debit,Journal Items/Date Accounting,Journal Items/Date,Journal Items/Partner/Name
__export__.account_move_2492_5f34fc43,MISC/2020/0512,2086792985,2020-12-31,__export__.account_journal_3_bd951307,,211,Lợi nhuận chưa phân phối năm nay,,2086792985,,,2020-12-31,
,,,,,,,Xác định kết quả kinh doanh,,,2086792985,,2020-12-31,
__export__.account_move_2476_c573dd41,CLOSE/2020/0142,6351,2020-12-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (6351),Chi phí lãi vay,Closing balance for  expense (6351),6351,,,2020-12-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (6351),,6351,,2020-12-31,
__export__.account_move_2475_c99c2e69,CLOSE/2020/0141,31,2020-12-31,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (635x),Chi phí tài chính khác,Closing balance for  expense (635x),31,,,2020-12-31,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (635x),,31,,2020-12-31,
__export__.account_move_2303_77df08a4,CLOSE/2020/0010,6382,2020-12-31,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,6382,,2020-12-31,
,,,,,,,Chi phí lãi vay,,6351,,,2020-12-31,
,,,,,,,Chi phí tài chính khác,,31,,,2020-12-31,
__export__.account_move_2055_dede04f8,MISC/2020/0505,1331,2020-12-06,__export__.account_journal_3_bd951307,,258 Lãi trả chậm,"Thuế GTGT được khấu trừ của hàng hóa, dịch vụ",,1331,,,2020-12-06,
,,,,,,,Bank,Lãi trả chậm,,1331,,2020-12-06,
__export__.account_move_2054_4be6ef52,MISC/2020/0504,6351,2020-12-05,__export__.account_journal_3_bd951307,,257 Lãi trả chậm,Bank,,6351,,,2020-12-05,
,,,,,,,Chi phí lãi vay,Lãi trả chậm,,6351,,2020-12-05,
__export__.account_move_2053_ba995003,MISC/2020/0503,31,2020-12-04,__export__.account_journal_3_bd951307,,256 bổ sung lần 1,Chênh lệch tỷ giá do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,bổ sung lần 1,31,,,2020-12-04,
,,,,,,,Chi phí tài chính khác,bổ sung lần 1,,31,,2020-12-04,
__export__.account_move_2052_176ea4d1,MISC/2020/0502,421,2020-12-03,__export__.account_journal_3_bd951307,__export__.res_partner_120_2b137d39,255 bổ sung lần 1,Bank,bổ sung lần 1,421,,,2020-12-03,
,,,,,,,"Phải trả, phải nộp khác",bổ sung lần 1,,421,,2020-12-03,Owner 1
__export__.account_move_2051_3675e21c,MISC/2020/0501,2500001,2020-12-02,__export__.account_journal_3_bd951307,__export__.res_partner_120_2b137d39,254 bổ sung lần 1,Thuế thu nhập cá nhân,bổ sung lần 1,2500001,,,2020-12-02,
,,,,,,,"Phải trả, phải nộp khác",bổ sung lần 1,,2500001,,2020-12-02,Owner 1
__export__.account_move_2050_f2089867,MISC/2020/0500,4212,2020-12-01,__export__.account_journal_3_bd951307,__export__.res_partner_120_2b137d39,253 bổ sung lần 1,"Phải trả, phải nộp khác",bổ sung lần 1,4212,,,2020-12-01,Owner 1
,,,,,,,Lợi nhuận chưa phân phối năm nay,bổ sung lần 1,,4212,,2020-12-01,
__export__.account_move_2474_a3618979,CLOSE/2020/0140,39000003,2020-11-30,vn_accounting.record_account_journal_closing_balance,,Closing balance for revenue and other incomes (811),Chi phí khác,Closing balance for revenue and other incomes (811),39000003,,,2020-11-30,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for revenue and other incomes (811),,39000003,,2020-11-30,
__export__.account_move_2473_ced591b1,CLOSE/2020/0139,1300001,2020-11-30,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (6351),Chi phí lãi vay,Closing balance for  expense (6351),1300001,,,2020-11-30,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (6351),,1300001,,2020-11-30,
__export__.account_move_2472_3e4fd85d,CLOSE/2020/0138,8000002,2020-11-30,vn_accounting.record_account_journal_closing_balance,,Closing balance for  expense (632x),Giá vốn hàng bán,Closing balance for  expense (632x),8000002,,,2020-11-30,
,,,,,,,Xác định kết quả kinh doanh,Closing balance for  expense (632x),,8000002,,2020-11-30,
__export__.account_move_2302_4d8ea1b5,CLOSE/2020/0011,1300001,2020-11-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,1300001,,2020-11-30,
,,,,,,,Chi phí lãi vay,,1300001,,,2020-11-30,
__export__.account_move_2301_b194bb9e,CLOSE/2020/0012,39000003,2020-11-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,39000003,,2020-11-30,
,,,,,,,Chi phí khác,,39000003,,,2020-11-30,
__export__.account_move_2300_db5d7623,CLOSE/2020/0013,8000002,2020-11-30,vn_accounting.record_account_journal_closing_balance,,Manual,Xác định kết quả kinh doanh,,,8000002,,2020-11-30,
,,,,,,,Giá vốn hàng bán,,8000002,,,2020-11-30,
