id,name,en_name,code,user_type_id/id
__export__.account_account_191_73ca6acc,Tiền mặt,Cash,111,account.data_account_type_liquidity
__export__.account_account_233_4cde1c7d,Ngoại tệ,Foreign currencies,1112,account.data_account_type_liquidity
__export__.account_account_234_ccbc55b9,Vàng tiền tệ,Monetary gold,1113,account.data_account_type_liquidity
__export__.account_account_192_b44f41e8,Tiền gửi Ngân hàng,Cash in banks,112,account.data_account_type_liquidity
__export__.account_account_235_7100e850,Ngoại tệ,Foreign currencies,1122,account.data_account_type_liquidity
__export__.account_account_236_835f471d,Vàng tiền tệ,Monetary gold,1123,account.data_account_type_current_assets
__export__.account_account_193_be67dfb4,Tiền đang chuyển,Cash in transit,113,account.data_account_type_current_assets
l10n_vn.1_vn_template_liquidity_transfer,Tiền Việt Nam đang chuyển,Vietnam Dong,1131,account.data_account_type_current_assets
__export__.account_account_237_48f7272c,Ngoại tệ,Foreign currencies,1132,account.data_account_type_current_assets
__export__.account_account_194_0e536d72,Chứng khoán kinh doanh,Trading securities,121,account.data_account_type_current_assets
l10n_vn.1_chart1211,Cổ phiếu,Shares,1211,account.data_account_type_current_assets
l10n_vn.1_chart1212,"Trái phiếu, Tín phiếu, Kỳ phiếu",Bonds,1212,account.data_account_type_current_assets
l10n_vn.1_chart1218,Chứng khoán và công cụ tài chính khác,Other securities and financial instruments,1218,account.data_account_type_current_assets
__export__.account_account_195_adbf93ae,Đầu tư nắm giữ đến ngày đáo hạn,Held to maturity investments,128,account.data_account_type_current_assets
l10n_vn.1_chart1281,Tiền gửi có kỳ hạn,Term deposits,1281,account.data_account_type_current_assets
l10n_vn.1_chart1282,Trái phiếu có kỳ hạn,Bonds,1282,account.data_account_type_current_assets
l10n_vn.1_chart1283,Cho vay,Lending loans,1283,account.data_account_type_current_assets
l10n_vn.1_chart1288,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,Other held to maturity investments,1288,account.data_account_type_current_assets
l10n_vn.1_chart131,Phải thu của khách hàng,Trade receivables,131,account.data_account_type_receivable
__export__.account_account_196_035c5eaf,Thuế GTGT được khấu trừ,Deductible VAT,133,account.data_account_type_current_assets
l10n_vn.1_chart1331,"Thuế GTGT được khấu trừ của hàng hóa, dịch vụ",VAT on purchase of goods and services,1331,account.data_account_type_current_assets
l10n_vn.1_chart1332,Thuế GTGT được khấu trừ của TSCĐ,VAT on purchase of fixed assets,1332,account.data_account_type_current_assets
__export__.account_account_197_5f2fe5ba,Phải thu nội bộ,Intra-company receivables,136,account.data_account_type_current_assets
l10n_vn.1_chart1361,Vốn kinh doanh ở đơn vị trực thuộc,Working capital provided to subsidiary units,1361,account.data_account_type_current_assets
l10n_vn.1_chart1362,Phải thu nội bộ về chênh lệch tỷ giá,Intra-company receivables on foreign exchange differences,1362,account.data_account_type_current_assets
l10n_vn.1_chart1363,Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hoá,Intra-company receivables on borrowing costs eligible to be capitalized,1363,account.data_account_type_current_assets
l10n_vn.1_chart1368,Phải thu nội bộ khác,Other intra-company receivables,1368,account.data_account_type_current_assets
__export__.account_account_198_04025010,Phải thu khác,Other receivables,138,account.data_account_type_current_assets
l10n_vn.1_chart1381,Tài sản thiếu chờ xử lý,Shortage of assets awaiting resolution,1381,account.data_account_type_current_assets
l10n_vn.1_chart1385,Phải thu về cổ phần hóa,Receivables from equitization,1385,account.data_account_type_current_assets
